request_id,timestamp,user_id,tier,sla_ms,task_type,model_id,backend,latency_ms,quality_score,success
8cdb78c8-02ce-4cd9-8e60-59529ec0ded3,2025-12-17T02:58:46.096446,user_384,free,800,summarization,gpt-3.5-turbo,aws,611,0.781,True
e6e703ee-9957-416f-ad12-2053abed6b72,2025-12-15T09:50:59.096446,user_223,enterprise,150,summarization,llama-3-70b,aws,107,0.825,True
12afd727-4883-4f7e-812c-f22d32546648,2025-12-14T15:32:38.096446,user_95,free,800,classification,gpt-3.5-turbo,aws,480,0.88,True
55f9ed7c-e3bb-48b3-b9f4-1260a4277f11,2025-12-13T10:03:54.096446,user_140,pro,300,summarization,mixtral-8x7b,k8s,226,0.831,True
360550fa-dd3f-49e0-997e-621d2723bb82,2025-12-14T21:23:45.096446,user_312,free,800,qa,llama-3-70b,aws,518,0.78,True
3938406f-0e71-4366-9391-34aa35b329b1,2025-12-15T06:55:16.096446,user_336,pro,300,qa,mistral-7b,k8s,146,0.967,False
cb3a0a69-2197-4201-9560-c9614e7e51c5,2025-12-17T08:17:41.096446,user_341,free,800,summarization,claude-2.1,neocloud,499,0.796,True
8af390a3-0129-4386-b0e9-68902720f3f9,2025-12-17T07:29:16.096446,user_408,pro,300,reasoning,llama-3-70b,aws,248,0.752,True
19d74c74-a120-4dc6-a183-9d38ad08a40a,2025-12-14T19:43:15.096446,user_85,free,800,classification,gpt-4,aws,562,0.784,True
7ccee478-cb90-412d-9a46-7853eab5ba7e,2025-12-13T12:47:32.096446,user_225,free,800,code-gen,mistral-7b,k8s,514,0.816,True
88cf9e64-212c-4193-a8fd-0e3dcff624d2,2025-12-16T18:08:02.096446,user_276,pro,300,qa,claude-3-opus,aws,183,0.698,True
98297eb8-1a48-4a86-a596-974adc8f90ef,2025-12-14T01:50:23.096446,user_107,free,800,summarization,falcon-180b,neocloud,641,0.815,True
2126d363-83a9-43ce-a4d9-dc41a05d337d,2025-12-14T18:03:15.096446,user_15,free,800,reasoning,mixtral-8x7b,k8s,527,0.866,True
66b006be-a1ea-4020-98d3-4df87d37b315,2025-12-15T05:21:16.096446,user_172,pro,300,summarization,llama-2-13b,neocloud,326,0.752,True
bd65eb94-7d6b-442b-98a4-402cbf39ae1f,2025-12-16T15:33:21.096446,user_309,pro,300,reasoning,mistral-7b,k8s,228,0.887,True
4710638d-c498-443e-991a-8a0fa028e2f1,2025-12-15T09:51:30.096446,user_319,pro,300,classification,claude-3-opus,aws,158,0.824,True
7152f320-2ebc-4f3b-9f30-fc3be185b615,2025-12-15T06:28:26.096446,user_433,pro,300,summarization,gpt-4,aws,247,0.794,True
922a52f4-4af7-4ed3-802a-cc25a37a2063,2025-12-16T09:00:18.096446,user_332,free,800,reasoning,mixtral-8x7b,k8s,525,0.81,True
7b5e3b33-751b-42a1-a609-5ef338e5f90b,2025-12-16T07:51:58.096446,user_299,free,800,summarization,mistral-7b,k8s,552,0.842,True
cb3684bb-7c56-4507-a373-687783eeb5eb,2025-12-12T13:01:57.096446,user_55,free,800,summarization,gemma-7b,k8s,597,0.811,True
6b84fd73-f593-4e9c-bb92-b296d37613f4,2025-12-15T22:41:56.096446,user_385,pro,300,code-gen,claude-2.1,neocloud,252,0.81,True
c686f26b-c130-460e-9164-1b0b85b8e42b,2025-12-16T11:21:14.096446,user_306,pro,300,reasoning,llama-2-13b,neocloud,161,0.94,True
e28bcdd7-0c5a-45da-8d86-8557c922302b,2025-12-13T10:47:24.096446,user_1,pro,300,reasoning,claude-3-opus,aws,184,0.964,True
7f358a56-b417-4ce2-aeb3-59f19bc00d7f,2025-12-16T00:42:58.096446,user_401,free,800,classification,llama-3-70b,aws,650,0.916,True
49b0d406-6f6a-4095-a350-5df5aa82d154,2025-12-15T21:09:05.096446,user_494,free,800,classification,claude-2.1,neocloud,476,0.944,True
17a0a56f-4247-4a4a-ac07-f63a47dadd05,2025-12-16T05:00:38.096446,user_178,pro,300,qa,gpt-3.5-turbo,aws,175,0.875,True
59ca1bfe-833d-477a-bcf7-43185e296baa,2025-12-13T06:28:29.096446,user_479,pro,300,reasoning,gpt-3.5-turbo,aws,227,0.86,False
a5d3cc1c-45b6-42bd-a2bb-a82293775730,2025-12-15T20:06:12.096446,user_42,free,800,classification,llama-3-70b,aws,526,0.816,True
903fdaf3-3278-4e03-8aa6-7b23f2098779,2025-12-13T15:17:58.096446,user_231,pro,300,summarization,llama-2-13b,neocloud,147,0.756,True
af176a60-b70b-4651-8161-f01ecfb48108,2025-12-17T07:45:29.096446,user_337,free,800,classification,falcon-180b,neocloud,580,0.858,True
7f76a530-dde0-4679-ba6d-1d8f1cb0f40b,2025-12-15T13:25:41.096446,user_179,free,800,qa,falcon-180b,neocloud,563,0.901,True
a8cafe35-d23d-4ea2-a0ab-a460fbcd33da,2025-12-17T06:01:22.096446,user_268,free,800,qa,claude-3-opus,aws,528,0.661,False
fff170ea-3f40-40c3-bedb-b66b9cfd02d6,2025-12-14T19:34:08.096446,user_441,pro,300,reasoning,gemma-7b,k8s,197,0.774,True
4dff23f0-014f-407c-8fe7-24baa11cf786,2025-12-13T14:53:15.096446,user_382,enterprise,150,classification,falcon-180b,neocloud,181,0.882,True
4fa086c2-4faa-4b11-bc8e-db7bf0ca38f2,2025-12-12T18:26:56.096446,user_370,free,800,reasoning,claude-3-opus,aws,550,0.869,True
5bf5e902-2496-4c93-8969-29e814209758,2025-12-15T01:48:41.096446,user_475,free,800,summarization,mixtral-8x7b,k8s,446,0.804,True
a8aa9a6c-1579-4c15-a9ca-2cabb4a2e136,2025-12-16T23:26:33.096446,user_462,free,800,qa,mixtral-8x7b,k8s,583,0.923,True
a90fba80-e98b-43e1-83a5-032288a948a4,2025-12-12T13:08:42.096446,user_196,pro,300,summarization,gpt-4,aws,193,0.87,True
f5a0a1ec-e705-4e1b-8767-a2b8dfbd32f8,2025-12-13T08:52:05.096446,user_489,enterprise,150,summarization,claude-2.1,neocloud,30,0.87,True
362a8a91-5dbd-4779-95b9-3765b1d2da6d,2025-12-16T21:02:19.096446,user_386,pro,300,qa,claude-3-opus,aws,237,0.667,True
d9d45b7b-f57a-4112-80ba-d096a034475d,2025-12-16T07:09:31.096446,user_343,free,800,summarization,gemma-7b,k8s,519,0.849,True
c87a5de8-0f32-4069-953f-d3944ab267cf,2025-12-15T02:36:57.096446,user_283,free,800,reasoning,mistral-7b,k8s,485,0.761,True
ded5c23c-5287-4db3-80bf-d9aa917c71c8,2025-12-13T12:19:54.096446,user_477,free,800,qa,llama-2-13b,neocloud,574,0.953,True
106974a5-62bf-4cc8-89ec-b2219b501cd2,2025-12-16T19:36:38.096446,user_278,free,800,code-gen,gpt-4,aws,489,0.58,True
06bc506e-c78d-4e8a-8c6e-48a5b6d3d342,2025-12-12T19:07:03.096446,user_266,pro,300,summarization,claude-2.1,neocloud,231,0.916,True
e0295673-b271-4f83-8ebe-bb79837b8c20,2025-12-14T02:19:08.096446,user_192,pro,300,reasoning,gpt-4,aws,147,0.807,True
9e4aac23-2a50-41e1-a9b1-55afb9f40b07,2025-12-15T23:31:45.096446,user_75,pro,300,reasoning,llama-3-70b,aws,84,0.85,True
315e7bed-b9af-4e99-ae0a-f52601d83fc8,2025-12-15T01:32:17.096446,user_409,free,800,classification,gpt-3.5-turbo,aws,483,0.824,True
1e4206c2-0a0e-432e-8099-e18649ab9e9c,2025-12-14T02:49:33.096446,user_37,free,800,qa,claude-3-opus,aws,522,0.966,True
1d2d33f1-e232-4d39-a253-f69634c0676c,2025-12-12T13:04:26.096446,user_351,free,800,summarization,gemma-7b,k8s,584,0.819,True
3fa438c3-ffd2-4fb1-89ad-87de050bb6d8,2025-12-12T12:45:35.096446,user_251,free,800,reasoning,gpt-4,aws,496,0.723,True
21a86de1-fb98-435b-9dad-0a75f9d4a280,2025-12-15T09:52:01.096446,user_464,pro,300,classification,claude-3-opus,aws,282,0.845,True
397e0600-8c54-4728-89a8-8c8a4178144a,2025-12-13T04:16:59.096446,user_330,free,800,classification,falcon-180b,neocloud,486,0.921,False
f6a1a29a-7caf-42c4-b253-ec2870f4c66d,2025-12-15T19:10:23.096446,user_174,free,800,reasoning,claude-2.1,neocloud,530,0.95,True
e2705ac9-6547-4c5c-9579-8fa35c21b3da,2025-12-13T08:21:25.096446,user_210,free,800,reasoning,gpt-3.5-turbo,aws,489,0.871,True
cb967f23-124a-40ab-a65b-24a01d8b1fa7,2025-12-13T23:47:11.096446,user_277,pro,300,qa,mixtral-8x7b,k8s,249,0.839,False
6640e1db-c1b1-4137-9f09-88e19af799cf,2025-12-13T02:33:00.096446,user_169,free,800,classification,llama-2-13b,neocloud,654,0.884,True
f6664aca-a1df-4da2-9945-f16692e2f739,2025-12-12T22:51:24.096446,user_2,free,800,code-gen,gemma-7b,k8s,466,0.902,True
cad3f563-04f0-419e-bf4e-c4c69138d46e,2025-12-13T08:45:28.096446,user_307,free,800,qa,mixtral-8x7b,k8s,636,0.85,True
4e9a3e8d-2955-47e8-9f84-8ac98094ea2b,2025-12-14T07:24:58.096446,user_1,free,800,reasoning,gemma-7b,k8s,437,0.91,True
1a65b489-3c80-4e46-aee2-c2e9ac86d871,2025-12-15T08:51:33.096446,user_87,pro,300,summarization,llama-2-13b,neocloud,151,0.888,True
32229693-922d-46d3-87e2-ec4dfd24dfc0,2025-12-17T05:39:54.096446,user_412,free,800,summarization,claude-3-opus,aws,651,0.787,True
cea2a3b9-9e1a-49c3-8152-893e3a09f066,2025-12-15T01:18:09.096446,user_264,pro,300,classification,mixtral-8x7b,k8s,240,0.956,True
eb4a8bdc-4ad4-4511-aa42-a83e39608fb5,2025-12-14T11:42:40.096446,user_208,free,800,qa,mistral-7b,k8s,522,0.791,True
91ed6884-43d7-484f-9be1-94dc248e9596,2025-12-13T12:04:06.096446,user_249,pro,300,reasoning,gpt-3.5-turbo,aws,276,0.885,True
16a5b100-db6a-449d-a007-2b662cbedd00,2025-12-16T01:34:23.096446,user_283,pro,300,code-gen,gpt-3.5-turbo,aws,218,0.879,True
b52f7431-87c4-4241-a027-d8b087c8ffcd,2025-12-16T09:52:03.096446,user_386,pro,300,qa,llama-3-70b,aws,169,0.665,True
3bb65360-0dbb-4cf2-af58-52d38234d99b,2025-12-13T00:44:37.096446,user_203,free,800,code-gen,claude-3-opus,aws,508,0.923,True
c286d7a1-1f76-4eef-b2ce-2e9e23194893,2025-12-17T03:26:14.096446,user_293,free,800,summarization,llama-2-13b,neocloud,551,0.769,True
a49bca51-2763-4716-99c4-ab4d68fed0df,2025-12-15T18:25:54.096446,user_470,free,800,reasoning,gpt-3.5-turbo,aws,563,0.793,True
a5a1e36d-a5c8-4996-a5ce-232bfd4e0450,2025-12-14T13:17:02.096446,user_78,free,800,code-gen,mixtral-8x7b,k8s,584,0.817,True
5fc52646-b29b-4eb2-9389-8327fa1d5fb1,2025-12-14T01:02:50.096446,user_95,free,800,classification,gpt-3.5-turbo,aws,542,0.856,True
759afaa4-00c9-4cd7-ba39-5683b35a799f,2025-12-14T19:00:26.096446,user_484,free,800,qa,llama-3-70b,aws,547,0.923,True
88c08542-de50-4cb9-a6b4-9f7d0f1cb6dc,2025-12-13T16:17:21.096446,user_60,pro,300,qa,gemma-7b,k8s,119,0.881,True
f0e0a62c-fd29-4a76-bc71-a05b7461f587,2025-12-14T12:51:32.096446,user_415,free,800,summarization,claude-3-opus,aws,627,0.775,True
7127ad3a-28a2-4131-9514-072015b2350c,2025-12-16T09:23:12.096446,user_494,pro,300,qa,falcon-180b,neocloud,321,0.631,True
8ee81a86-a0c4-470b-8a2c-2eb47131768b,2025-12-15T01:30:23.096446,user_197,free,800,classification,claude-3-opus,aws,541,0.909,True
08eeef0b-ff07-4350-8078-e09fb6b9a654,2025-12-12T12:10:44.096446,user_407,free,800,reasoning,gpt-4,aws,637,0.887,True
64ebaa0a-6e8c-4092-b5c3-b5a141ff148e,2025-12-14T03:13:38.096446,user_246,free,800,summarization,gpt-3.5-turbo,aws,552,0.756,True
12dfec60-ee36-4561-a522-43621e1bbdcd,2025-12-15T10:45:45.096446,user_54,pro,300,classification,gpt-3.5-turbo,aws,277,0.841,True
919a0bac-aa0f-469a-867c-3a4e85692008,2025-12-16T12:53:48.096446,user_182,free,800,qa,gpt-4,aws,546,0.69,True
25f61466-dcda-48ad-9f8a-dbf379baa421,2025-12-13T11:59:14.096446,user_370,pro,300,summarization,mistral-7b,k8s,241,0.952,True
435bcc1c-c423-4e98-b3eb-aaf136cf7dbe,2025-12-14T13:33:26.096446,user_28,free,800,qa,falcon-180b,neocloud,576,0.879,True
0a830928-112e-4905-8b76-ad9b394fc571,2025-12-15T15:25:03.096446,user_419,free,800,classification,mixtral-8x7b,k8s,492,0.963,True
c2663085-0676-4282-aecc-4662a808d4ad,2025-12-15T02:26:50.096446,user_108,pro,300,classification,falcon-180b,neocloud,204,0.922,True
b7fa5fc3-e774-48b3-bd01-b82d8622a70f,2025-12-14T07:01:37.096446,user_304,free,800,code-gen,mixtral-8x7b,k8s,476,0.937,True
443d0237-9460-4d88-aff6-4a435cc62c38,2025-12-16T08:28:48.096446,user_368,free,800,classification,claude-2.1,neocloud,578,0.976,True
0e61988f-008e-4325-b11c-c3328ee09d07,2025-12-12T10:41:10.096446,user_333,free,800,qa,mistral-7b,k8s,578,0.775,True
eb7399db-a0a6-499a-86ac-72f21b115283,2025-12-12T11:23:05.096446,user_476,free,800,summarization,llama-2-13b,neocloud,587,0.867,True
d009da93-f7de-44b8-9ac2-ed63227dc93f,2025-12-12T22:42:18.096446,user_464,pro,300,classification,gpt-3.5-turbo,aws,153,0.939,True
9a5619f4-ec29-4fe8-a977-92c38fb57cf2,2025-12-17T03:32:45.096446,user_463,pro,300,code-gen,llama-3-70b,aws,212,0.797,True
6ffeb99d-2bb2-4864-bb48-89a3e0745c82,2025-12-13T00:45:14.096446,user_386,pro,300,qa,llama-3-70b,aws,208,0.806,True
b154e3f5-1ba9-4f6c-99f6-8d9a2f115967,2025-12-15T23:07:59.096446,user_73,pro,300,classification,gpt-4,aws,276,0.799,True
0f2dce83-cdea-4dbd-815c-649e5b4faa44,2025-12-16T19:03:36.096446,user_305,free,800,code-gen,mistral-7b,k8s,540,0.942,True
a4b0f190-bd1e-4514-8057-b9a49be26600,2025-12-15T00:38:52.096446,user_216,pro,300,summarization,falcon-180b,neocloud,209,0.788,True
f07de328-c3f2-4d31-8ae9-10781f9dcaa3,2025-12-15T02:51:12.096446,user_423,pro,300,classification,gpt-4,aws,205,0.752,True
5fa6f11c-7904-4530-8fe4-dc3c95c7d234,2025-12-16T17:11:19.096446,user_479,free,800,code-gen,falcon-180b,neocloud,578,0.755,True
c5816b65-cdf7-4496-9b46-360b25e45ed7,2025-12-16T05:02:38.096446,user_420,pro,300,summarization,falcon-180b,neocloud,207,0.772,True
5fcc204e-db48-4714-9c52-31c38debda4f,2025-12-13T00:08:56.096446,user_427,free,800,summarization,gemma-7b,k8s,537,0.76,True
a5d94d41-1992-4438-83fa-8840c4048dcc,2025-12-15T18:47:26.096446,user_315,free,800,code-gen,claude-2.1,neocloud,528,0.876,True
803a5d95-785b-4552-99f6-6a4a8cd13d35,2025-12-12T22:13:50.096446,user_437,free,800,reasoning,mixtral-8x7b,k8s,593,0.758,True
25ef1d28-09b8-4b20-90fa-4b678505c30b,2025-12-14T07:56:16.096446,user_101,enterprise,150,classification,mixtral-8x7b,k8s,114,0.875,True
8aaf48c9-cc67-4280-8f2f-dcbbf6c961fc,2025-12-13T21:49:22.096446,user_238,enterprise,150,qa,falcon-180b,neocloud,68,0.823,True
ca599a21-787b-45f2-828b-20c3bfa99d68,2025-12-16T17:12:00.096446,user_264,pro,300,summarization,mixtral-8x7b,k8s,270,0.842,True
12559b24-6043-4ddb-bdd7-21ee4b8cbbbf,2025-12-17T02:40:25.096446,user_364,free,800,classification,falcon-180b,neocloud,558,0.812,True
bf4d41bb-9055-43cb-9251-4228c7a2547f,2025-12-15T07:49:17.096446,user_24,free,800,summarization,mixtral-8x7b,k8s,621,0.844,True
ea8d75ef-c8a2-443c-9447-269c34b01d91,2025-12-17T08:26:26.096446,user_162,free,800,summarization,llama-2-13b,neocloud,527,0.821,True
d20631eb-72d9-4f55-97dd-67384bc35fbb,2025-12-17T05:47:08.096446,user_295,pro,300,summarization,gpt-4,aws,97,0.607,False
537affa1-13b9-4981-8248-bc36b02e8058,2025-12-13T06:36:51.096446,user_287,enterprise,150,reasoning,llama-2-13b,neocloud,89,0.954,True
a4705666-10cc-4fa0-9ba0-65b9ac062ad6,2025-12-15T20:13:38.096446,user_125,free,800,code-gen,mistral-7b,k8s,550,0.843,True
5bb4eed6-5972-4e03-bc23-04047f564931,2025-12-17T04:36:41.096446,user_174,free,800,code-gen,gpt-4,aws,506,0.826,True
637a9deb-c548-45a1-a07c-014f28a5c7d8,2025-12-16T18:54:16.096446,user_184,pro,300,summarization,mistral-7b,k8s,286,0.771,True
75e82bc5-bc48-4c3a-987e-40c8ea36edad,2025-12-12T14:43:11.096446,user_385,free,800,reasoning,gpt-4,aws,490,0.906,True
21c1eab3-370f-49fb-b327-269d737eee39,2025-12-17T01:21:54.096446,user_263,free,800,classification,gemma-7b,k8s,648,0.794,True
8b1925a8-e1c4-4175-89dc-059c36772136,2025-12-13T20:10:24.096446,user_181,pro,300,summarization,gemma-7b,k8s,186,0.942,True
be7e9610-eab9-41aa-a944-30ef0a6253d3,2025-12-16T10:06:01.096446,user_134,pro,300,classification,mistral-7b,k8s,231,0.89,True
dd982673-bb91-4503-a3c4-a12a4b8c9ca2,2025-12-15T16:08:58.096446,user_239,free,800,reasoning,gpt-4,aws,664,0.757,True
9423e83a-c5fe-48bc-964d-bbfb6093c252,2025-12-17T08:18:30.096446,user_118,free,800,qa,mistral-7b,k8s,572,0.922,True
9a6f3859-39bc-436e-a7b9-756a7e5963c0,2025-12-13T01:26:19.096446,user_93,pro,300,summarization,mixtral-8x7b,k8s,163,0.858,True
07966596-1f12-4701-b243-fabe2d40ef7e,2025-12-16T04:55:08.096446,user_150,free,800,qa,mistral-7b,k8s,488,0.943,True
c35bb364-d79e-42c1-9f0b-37c2eccfb76b,2025-12-12T09:42:45.096446,user_265,pro,300,summarization,llama-3-70b,aws,274,0.777,True
05f8e4e6-4ce2-41ff-90b1-cb0d3343242c,2025-12-13T01:47:41.096446,user_64,pro,300,classification,claude-2.1,neocloud,260,0.804,True
af24f917-5cbb-4af4-849e-4841bc49f752,2025-12-13T07:20:24.096446,user_426,free,800,qa,mistral-7b,k8s,590,0.847,True
b9f56314-0245-48f5-80aa-87359e6adb45,2025-12-13T14:44:11.096446,user_334,pro,300,code-gen,mistral-7b,k8s,199,0.9,True
90951551-8c39-4cdf-9c1a-650d0fe4f26d,2025-12-13T16:30:59.096446,user_323,pro,300,summarization,mixtral-8x7b,k8s,188,0.93,True
b5a381cc-b26b-415e-84aa-bee09565cae6,2025-12-16T18:48:16.096446,user_308,free,800,summarization,claude-3-opus,aws,527,0.776,True
b1760121-79f1-4eee-b04b-ac1d0626ee84,2025-12-14T14:57:57.096446,user_316,free,800,reasoning,gemma-7b,k8s,542,0.794,True
68650b8f-1647-4bfb-b7b9-9377daf22de0,2025-12-14T10:38:07.096446,user_129,free,800,classification,gpt-3.5-turbo,aws,596,0.902,True
4fe8dce0-f1de-4770-b5c4-ebf215378e96,2025-12-16T10:37:03.096446,user_244,free,800,reasoning,mistral-7b,k8s,542,0.771,True
